num	attraction	duration	hours	description
365	White Cube Gallery	"missing"	Closed Now Tue - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
411	St. Mary le Strand	"missing"	Closed Now Sun10:00 AM - 1:00 PMMon - Fri10:00 AM - 4:00 PMHours Hours Today: 10:00 AM - 4:00 PM	"missing"
412	Brixton Windmill (Ashby's Mill)	Suggested Duration: < 1 hour	Closed Now Sun - Thu5:00 PM - 11:00 PMFri5:00 PM - 1:00 AMSat5:00 PM - 12:00 AMHours Hours Today: 5:00 PM - 11:00 PM	"missing"
414	The Four Bronze Horses of Helios	Suggested Duration: < 1 hour	"missing"	"missing"
415	Crystal Palace Museum	Suggested Duration: < 1 hour	Closed Sun11:00 AM - 3:00 PMHours Hours Today: Closed	"missing"
417	Notre Dame de France	Suggested Duration: < 1 hour	"missing"	"missing"
418	Bargehouse, Oxo Tower Wharf	Suggested Duration: 1-2 hours	"missing"	"missing"
419	MCC Cricket Museum	"missing"	"missing"	"missing"
420	Canada Memorial	"missing"	"missing"	"missing"
421	Maida Vale	"missing"	"missing"	Located just to the north west of Paddington, this area is predominantly residential, with architecture dating from the Edwardian era.
423	High Holborn	"missing"	"missing"	"missing"
366	Saint Bartholomew's Hospital Museum	Suggested Duration: < 1 hour	Closed Now Tue - Fri10:00 AM - 4:00 PMHours Hours Today: 10:00 AM - 4:00 PM	"The museum exhibits objects and archives dating back to the 12th century, from the hospital''s unique historical collections, and gives visitors the opportunity to view two vast and spectacular paintings by William Hogarth. Visitors can also enjoy the famous 18th century hospital square, designed by James Gibbs.
Displays include original and facsimile archives dating back to the 12th century, among them the agreement between Henry VIII and the City of London which refounded the hospital. Henry’s signature can be seen in the top left-hand corner. This magnificent document, complete with the Great Seal of Henry VIII, is one of the most important treasures of the hospital.
The oldest document in the hospital archives is Rahere’s grant of 1137, and a facsimile can be seen in the museum. Sealed in the presence of Rahere, the founder of St Bartholomew''s, this deed has remained in the hospital ever since, except perhaps during the Fire of London in 1666.
Objects from the hospital’s unique historical collections are also exhibited, including works of art, and surgical and medical equipment used in the hospital. Visitors can view a case of amputation instruments which belonged to John Abernethy, surgeon to the hospital in 1815-27, and the tools of the apothecary’s trade, including pill-making equipment, scales and drug bottles.
Visitors can learn about William Harvey, physician to St Bartholomew''s from 1609-43 and discoverer of the circulation of the blood. The patients’ diet in earlier times is explained, and a volume of 19th century drawings and watercolours illustrates in graphic detail particular diseases and cases.
Equipment used by nurses in their work is exhibited, such as feeding cups, a hypodermic syringe and items of uniform. The hospital’s role in the training of medical students is also covered.
The museum shop sells a range of postcards and publications about the hospital."
367	Streatham Common	"missing"	"missing"	"missing"
368	Still Water Horse Head Statue	"missing"	"missing"	"missing"
369	The Wild Card Brewery	"missing"	Closed Sun12:00 PM - 11:00 PMFri5:00 PM - 12:00 AMSat12:00 PM - 12:00 AMHours Hours Today: Closed	At weekends the Brewery Tap Bar is open to the public, offering: A range of bottled & cask beer from Wild Card Brewery & other London microbreweries Selected Ciders, wines and spirits Take away beer both cask and bottled Delicious eats from resident street food vendors Live music and DJ's
370	Christopher Wren's Temple Bar	Suggested Duration: < 1 hour	"missing"	"missing"
371	Buxton Memorial Fountain	"missing"	Closed Now Mon - Fri9:00 AM - 5:00 PMHours Hours Today: 9:00 AM - 5:00 PM	"missing"
372	Piccadilly Arcade	Suggested Duration: < 1 hour	"missing"	"missing"
373	Festival Pier	"missing"	"missing"	"missing"
374	Holy Trinity Brompton Church	"missing"	Closed Now Sun8:00 AM - 8:00 PMMon9:30 AM - 5:30 PMTue10:30 AM - 5:30 PMWed - Fri9:30 AM - 5:30 PMHours Hours Today: 10:30 AM - 5:30 PM	"missing"
375	Southwark Bridge	"missing"	"missing"	Completed in 1921, this major London bridge has a single central span of 240 feet.
376	Trinity Buoy Wharf	"missing"	"missing"	"missing"
377	Michelin House	Suggested Duration: < 1 hour	"missing"	"missing"
378	Woodberry Wetlands	Suggested Duration: 1-2 hours	"missing"	"missing"
379	Duke of Wellington Statue	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
380	Hertford House	"missing"	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
381	Swiss Glockenspiel	"missing"	"missing"	"missing"
382	Piccadilly Theater	"missing"	"missing"	"missing"
383	Royal Institute of British Architects	"missing"	Closed Now Mon - Fri9:00 AM - 5:00 PMHours Hours Today: 9:00 AM - 5:00 PM	"missing"
384	The Meeting Place Statue, St. Pancras Station	Suggested Duration: < 1 hour	"missing"	"missing"
385	Lloyd Park	"missing"	"missing"	"missing"
386	All Saints Margaret Street	"missing"	Closed Now Sun - Sat7:00 AM - 7:00 PMHours Hours Today: 7:00 AM - 7:00 PM	"missing"
387	Holy Trinity Sloane Square	"missing"	"missing"	"missing"
388	Peace Pagoda	Suggested Duration: < 1 hour	"missing"	"missing"
389	Discover Children’s Story Centre	"missing"	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	Discover Children's Story Centre in Stratford, East London, is a place where children aged 0-11 and their families and carers can enjoy playing, learning and making up stories together. Let your imagination soar on our indoor Story Worlds exploring a secret cave, a sparkly river and the Story Cloud Factory. Have an adventure in our Story Garden - sail away on a pirate ship, slide down a monster's tongue or play with giant musical instruments. Our Story Studio hosts interactive family exhibitions by famous picture book illustrators. We also have a full programme of storytelling, crafts and workshops and visits by your favourite picture book authors and illustrators.
390	Camley Street Natural Park	"missing"	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
391	Royal Institution of Great Britain	"missing"	Closed Now Mon - Fri9:00 AM - 6:00 PMHours Hours Today: 9:00 AM - 6:00 PM	"missing"
392	Wellington Barracks	"missing"	"missing"	"missing"
393	National Firefighters Memorial	"missing"	"missing"	"missing"
394	Essex Street Brewery	Suggested Duration: 1-2 hours	Closed Now Sun - Sat11:00 AM - 8:00 PMHours Hours Today: 11:00 AM - 8:00 PM	Somos una micro-fábrica de cerveza artesana, situada dentro del bar “Temple Brew House”, en pleno centro de Londres. Hacemos visitas guiadas en español e inglés, en la visita te explicaremos como se elabora la cerveza artesana y tras la visita podrás degustar nuestras cervezas y un delicioso picoteo de comida casera. Precios desde £20 por persona (incluye comida y bebida) hay que reservar con antelacion lo sentimos mucho pero no se admiten menores.
395	Crimean War Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
396	Temple Bar Memorial	"missing"	"missing"	"missing"
397	Canada Place	"missing"	"missing"	"missing"
398	Church of the Immaculate Conception	Suggested Duration: 1-2 hours	"missing"	"missing"
399	St. Lawrence Jewry	Suggested Duration: < 1 hour	"missing"	"missing"
400	Threadneedle Street	"missing"	"missing"	"missing"
401	Southwark Park	"missing"	"missing"	"missing"
402	Stoke Newington	"missing"	"missing"	"missing"
403	The London Fire Brigade Museum	"missing"	"missing"	"missing"
404	Dalston Eastern Curve Garden	"missing"	"missing"	"missing"
405	Hyde Park Corner	"missing"	"missing"	"missing"
406	St James's Roman Catholic Church	"missing"	Closed Now Sun - Fri7:00 AM - 7:00 PMSat8:00 AM - 7:00 PMHours Hours Today: 7:00 AM - 7:00 PM	"missing"
407	Wardour Street	"missing"	"missing"	"missing"
408	Notting Hill Coronet	"missing"	Closed Now Mon - Fri1:00 PM - 11:00 PMHours Hours Today: 1:00 PM - 11:00 PM	A blessing for smokers, the Coronet is the only cinema in London that allows patrons to light up in the theater.
409	Hackney City Farm	"missing"	Closed Now Tue - Sun10:00 AM - 4:30 PMHours Hours Today: 10:00 AM - 4:30 PM	"missing"
410	Hogarth's House	"missing"	Closed Now Tue - Sun12:00 PM - 5:00 PMHours Hours Today: 12:00 PM - 5:00 PM	"missing"
413	Ranger's House	"missing"	"missing"	"missing"
424	Burberry Factory Shop	"missing"	"missing"	"missing"
425	Royal Victoria Dock and Bridge	"missing"	"missing"	"missing"
426	Jewel Tower	"missing"	Closed Sat - Sun10:00 AM - 4:00 PMHours Hours Today: Closed	"missing"
427	Rivoli Ballroom	Suggested Duration: More than 3 hours	"missing"	"missing"
428	Canary Wharf Tower	"missing"	Closed Now Mon - Fri7:00 AM - 12:00 AMSat9:00 AM - 12:00 AMHours Hours Today: 7:00 AM - 12:00 AM	"missing"
429	Kennington Park	"missing"	Closed Now Sun - Sat7:30 AM - 6:00 PMHours Hours Today: 7:30 AM - 6:00 PM	"missing"
430	Girl with a Dolphin Fountain	Suggested Duration: < 1 hour	"missing"	"missing"
431	Walpole Park	"missing"	"missing"	"missing"
432	Greenwich Peninsula Ecology Park	"missing"	"missing"	"missing"
433	Kindertransport-The Arrival Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
434	Brockwell Park Walled Garden	"missing"	"missing"	"missing"
435	Guard's Division Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
436	London School of Economics	Suggested Duration: < 1 hour	"missing"	"missing"
437	Millfield Theatre	"missing"	"missing"	"missing"
438	Greyfriars Passage	"missing"	"missing"	"missing"
439	Landor Theatre	"missing"	Closed Now Sun12:00 PM - 10:30 PMMon - Thu12:00 PM - 11:00 PMFri12:00 PM - 12:00 AMSat11:00 PM - 12:00 AMHours Hours Today: 12:00 PM - 11:00 PM	"missing"
440	Marylebone Farmers' Market	"missing"	Closed Sun10:00 AM - 2:00 PMHours Hours Today: Closed	"missing"
441	Queen's Park	Suggested Duration: 1-2 hours	"missing"	"missing"
442	Duke Of York Column	"missing"	"missing"	"missing"
443	St Patrick's Church	"missing"	"missing"	"missing"
444	St. George's Church	Suggested Duration: < 1 hour	"missing"	"missing"
445	Street Food Union - Rupert Street SOHO	Suggested Duration: < 1 hour	"missing"	"missing"
446	St John's Gate	"missing"	"missing"	"missing"
447	Nelson Mandela Statue	Suggested Duration: < 1 hour	"missing"	"missing"
448	The Kernel Brewery	"missing"	"missing"	"missing"
449	House of Vans	Suggested Duration: < 1 hour	"missing"	"missing"
450	Charlton House	"missing"	Closed Now Mon - Sat9:00 AM - 10:00 PMHours Hours Today: 9:00 AM - 10:00 PM	Charlton House is London's best example of Jacobean architecture. We are grade one listed and showcase brilliant examples of Jacobean plaster work on ceilings, marble fireplaces and walled peace gardens featuring 3 beautiful gardens. The house's tea rooms are open Monday-Friday 9-4 and serve a delicious selection of cakes and treats alongside tea and coffee and an ever changing selection of warm foods.
451	King George VI Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
452	Butler's Wharf	"missing"	Closed Now Sun12:00 PM - 4:00 PM6:00 PM - 10:00 PMMon - Fri12:00 PM - 3:00 PMMon - Sat6:00 PM - 11:00 PMSat12:00 AM - 4:00 PMHours Hours Today: 12:00 PM - 3:00 PM, 6:00 PM - 11:00 PM	"missing"
453	Down Street	Suggested Duration: 1-2 hours	"missing"	"missing"
454	Paddington Green and St. Mary's Churchyard	"missing"	"missing"	"missing"
455	The Memorial Gates	"missing"	"missing"	"missing"
456	Winchester Palace	"missing"	"missing"	"missing"
457	New Beckton Park	"missing"	"missing"	"missing"
458	The Guild Church of ST Mary Aldermary	Suggested Duration: < 1 hour	"missing"	"missing"
459	Wandsworth Common	"missing"	"missing"	"missing"
460	Gift Horse on the Fourth Plinth	Suggested Duration: < 1 hour	"missing"	"missing"
461	Bethnal Green	"missing"	"missing"	"missing"
462	Hackney Museum	Suggested Duration: < 1 hour	"missing"	"missing"
463	Honourable Artillery Company	Suggested Duration: 2-3 hours	"missing"	"missing"
464	Old Red Lion Theatre	"missing"	Closed Now Sun - Thu12:00 PM - 12:00 AMFri - Sat12:00 PM - 1:00 AMHours Hours Today: 12:00 PM - 12:00 AM	"missing"
465	Paddington Street Garden	"missing"	"missing"	"missing"
466	Ravenscourt Park	"missing"	"missing"	"missing"
467	Charlton Athletic Football Club	"missing"	"missing"	"missing"
468	Isokon Gallery	Suggested Duration: 1-2 hours	"missing"	"missing"
469	Bridewell Theatre	"missing"	Closed Now Sun - Fri10:00 AM - 11:00 PMSat12:00 PM - 11:00 PMHours Hours Today: 10:00 AM - 11:00 PM	"missing"
470	31 Coventry Street	"missing"	"missing"	All four Beatles movies held their world premieres at this site.
471	Trinity House	Suggested Duration: 1-2 hours	"missing"	"missing"
472	Watts' Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
473	The House of St Barnabas	Suggested Duration: < 1 hour	"missing"	"missing"
474	Gordon Square	"missing"	"missing"	"missing"
475	I Can't Sing! - London Theatreland	"missing"	"missing"	"missing"
476	The Faraday Museum	"missing"	Closed Now Mon - Fri9:00 AM - 6:00 PMHours Hours Today: 9:00 AM - 6:00 PM	"missing"
477	Wellington Monument (Achille's Statue)	Suggested Duration: < 1 hour	"missing"	"missing"
478	Bloomsbury Farmers Market	"missing"	"missing"	"missing"
479	Island Gardens	"missing"	"missing"	"missing"
480	Chelsea Old Church	Suggested Duration: < 1 hour	"missing"	"missing"
481	Hoxton Hall	Suggested Duration: 1-2 hours	"missing"	"missing"
482	University of London	"missing"	"missing"	"missing"
483	HM Treasury	Suggested Duration: < 1 hour	"missing"	"missing"
484	London Beer Lab	"missing"	Closed Now Sun4:00 PM - 10:30 PMMon - Sat4:00 PM - 12:00 AMHours Hours Today: 4:00 PM - 12:00 AM	Get involved in brewing 4 beers under the supervision of our head brewer. You will work with other attendees going through the whole beer making process. We will also sample a selection of local beers from London's microbrewery scene. At the end of the day, you can either take 8 beers from our bottle shop with a limit of £25 or return at a later date to bottle the beer you helped to make.
485	Walthamstow Wetlands	"missing"	"missing"	"missing"
486	Admiral Beatty Memorial Fountain	Suggested Duration: < 1 hour	"missing"	"missing"
487	Mahatma Gandhi Statue	Suggested Duration: < 1 hour	"missing"	"missing"
488	Aldwych Tube Station	"missing"	"missing"	"missing"
489	Whitehall Palace	"missing"	Closed Now Sun - Sat10:00 AM - 1:00 PMHours Hours Today: 10:00 AM - 1:00 PM	"missing"
490	Brown Hart Gardens	"missing"	"missing"	"missing"
491	London Sewing Machine Museum	Suggested Duration: 1-2 hours	Closed Sat2:00 PM - 5:00 PMHours Hours Today: Closed	"missing"
492	Virgin Trains	Suggested Duration: < 1 hour	"missing"	"missing"
493	Queen Victoria Statue - Kensington	Suggested Duration: < 1 hour	"missing"	"missing"
494	Berwick Street Market	"missing"	"missing"	Visit this mouth-watering food market that displays an array of fruits and vegetables plus a vast choice of cheeses, meat, fish and prepared foods.
495	Wood Street Indoor Market	"missing"	Closed Now Tue - Sat10:00 AM - 5:30 PMHours Hours Today: 10:00 AM - 5:30 PM	"missing"
496	Joanna Rowsell's Gold Post Box - Cheam	Suggested Duration: < 1 hour	"missing"	"missing"
497	Gallions Reach Shopping Park	"missing"	Closed Now Sun11:00 AM - 5:00 PMMon - Sat10:00 AM - 8:00 PMHours Hours Today: 10:00 AM - 8:00 PM	"missing"
498	Kirkaldy Testing Museum	"missing"	"missing"	"missing"
499	Victoria Place	Suggested Duration: 1-2 hours	"missing"	"missing"
500	Crystal Palace Food Market	"missing"	"missing"	"missing"
501	Sydenham Hill Wood and Cox's Walk	Suggested Duration: 2-3 hours	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
502	St Luke’s Church	"missing"	"missing"	"missing"
503	Isle of Dogs	"missing"	"missing"	"missing"
504	Agatha Christie Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
505	The Bob Hope Theatre	"missing"	"missing"	"missing"
506	St. Dunstan In The West	"missing"	"missing"	"missing"
507	Capital Ring	"missing"	"missing"	"missing"
508	West India Docks	"missing"	"missing"	"missing"
509	Sicilian Avenue	"missing"	"missing"	"missing"
510	Bush Theatre	Suggested Duration: 1-2 hours	Closed Now Mon - Sat10:00 AM - 11:00 PMHours Hours Today: 10:00 AM - 11:00 PM	"missing"
511	Hammersmith Bridge	Suggested Duration: < 1 hour	"missing"	"missing"
512	Roupell Street	Suggested Duration: < 1 hour	"missing"	"missing"
513	Robert Peel Statue	Suggested Duration: < 1 hour	"missing"	"missing"
514	Great Queen Street	"missing"	"missing"	"missing"
515	Oxleas Wood	Suggested Duration: 1-2 hours	"missing"	"missing"
516	Jewel House	"missing"	"missing"	Exhibit of the crown jewels within the Tower of London.
517	Archbishop's Park	Suggested Duration: 2-3 hours	"missing"	"missing"
518	Boy David Memorial	"missing"	"missing"	"missing"
519	55 Broadway	Suggested Duration: 1-2 hours	"missing"	"missing"
520	Grosvenor Casino St Giles	"missing"	"missing"	Grosvenor Casino St Giles, London offers something for everyone in our modern, stylish casino in the heart of the West End. Day or night, enjoy the perfect venue where you can meet for lunch or enjoy evening cocktails and bistro-style dining in our late night bar area. Our gaming experience will appeal to all level of player, with numerous Blackjack & Roulette tables, plus an array of Slot machines. Find us on the corner of Tottenham Court Road and Great Russell Street. Just two minutes walk from Tottenham Court Road Underground station.
521	Gagosian Gallery	"missing"	Closed Now Tue - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
522	Jazz Cafe POSK	"missing"	"missing"	"missing"
523	Highgate Wood	Suggested Duration: 1-2 hours	"missing"	Highgate Wood is 28 hectares of ancient woodland in north London. It's a haven for wildlife and provides numerous scenic woodland trails. Our Sports Ground, located in an opening in the Wood, provides a picturesque backdrop, as well as top quality turf. We have an excellent playground, a renowned café, an information hut with leaflets and trail guides, and well-maintained toilet facilities.
524	Equestrian Statue of George IV	"missing"	"missing"	"missing"
525	Clocktower Market	"missing"	Closed Sat - Sun10:00 AM - 4:00 PMHours Hours Today: Closed	CLOCKTOWER ANTIQUES MARKETThis quirky weekend market has been around for over 30 years, and has 50 stalls, specialising in vintage, retro and antiques, with a few contemporary craft stalls thrown into the mix.Due to the one-off nature of the merchandise, every day is different, but you'll find vintage clothing, old and new jewellery, books, records, antique furniture and all kinds of collectables. With merchandise spanning 3 centuries, it's a great place to buy a piece of history in historic Greenwich.A 2 minute walk from Greenwich Market, the Clocktower Market is at 166 Greenwich High Road, next to the Greenwich Picturehouse. Opening hours are 10am till 4pm. The manager, Jane Dent, can be contacted on 020 7237 2001
526	St Giles-in-the-Fields Church	"missing"	Closed Now Sun9:00 AM - 7:30 PMMon - Fri8:00 AM - 7:30 PMHours Hours Today: 8:00 AM - 7:30 PM	"missing"
527	Greenwich Heritage Centre	"missing"	Closed Now Tue - Sat9:00 AM - 5:00 PMHours Hours Today: 9:00 AM - 5:00 PM	"missing"
528	Richmond Bridge	Suggested Duration: < 1 hour	"missing"	"missing"
529	GettyImages Gallery	"missing"	Closed Now Mon - Fri10:00 AM - 5:30 PMSat12:00 PM - 5:30 PMHours Hours Today: 10:00 AM - 5:30 PM	"missing"
530	Chestertons Polo in the Park	"missing"	"missing"	"missing"
531	Earl Haig Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
532	Aldwych Area	"missing"	"missing"	"missing"
533	Exchange Square	"missing"	"missing"	"missing"
534	Cello Factory	Suggested Duration: < 1 hour	"missing"	"missing"
535	Prince George Statue	"missing"	"missing"	"missing"
536	The Guild Church of St. Margaret Pattens	"missing"	"missing"	"missing"
537	Maryon Wilson Animal Park	"missing"	"missing"	The beautifully landscaped Maryon Wilson Animal Park is home to ponies, peacocks, ducks, geese, chickens, goats, pigs, sheep and even has a deer enclosure.We run public tours every Wednesday at 1:30pm from the entrance to the deer pen where you can meet, feed and even hold some of the animals!The park is open 24 hours a day, 7 days a week, so come down and visit us any time.
538	Sir John Betjeman Statue	Suggested Duration: < 1 hour	"missing"	"missing"
539	Wimbledon Windmill Museum	"missing"	Closed Now Sun - Sat9:00 AM - 5:00 PMHours Hours Today: 9:00 AM - 5:00 PM	"missing"
540	Southside House	"missing"	Closed Wed2:00 PM - 4:00 PMSat - Sun2:00 PM - 4:00 PMHours Hours Today: Closed	"missing"
541	Chancery Lane	"missing"	"missing"	"missing"
542	Genting Casino Chinatown London	Suggested Duration: 2-3 hours	"missing"	"missing"
543	Bruce Castle Museum	Suggested Duration: 1-2 hours	"missing"	"missing"
599	The Guards' Chapel	Suggested Duration: < 1 hour	"missing"	"missing"
600	Britain's Smallest Police Station	Suggested Duration: < 1 hour	"missing"	"missing"
652	Old Vic Tunnels	"missing"	"missing"	"missing"
653	Galeria Melissa	Suggested Duration: < 1 hour	"missing"	"missing"
654	Tooley Street	"missing"	"missing"	"missing"
777	Trades Union Congress Building	"missing"	"missing"	"missing"
544	The Grosvenor Victoria Casino London	"missing"	"missing"	Grosvenor Casino The Victoria (affectionately known as 'The Vic') sits in the heart of London, on the Edgware Road and is one of the largest, longest established casinos in the UK. The Vic offers the ultimate leisure experience with an excellent restaurant, 2 bars, casino gaming and Poker room. Our busy gaming floor offers the ultimate gaming experience with numerous gaming tables, slot machines and electronic gaming to suit every taste. We're open 24 hours a day 7 days a week and are within walking distance of Marble Arch and Edgware Road stations.
545	Deptford Market	"missing"	Closed Wed9:00 AM - 5:30 PMFri - Sat9:00 AM - 5:30 PMHours Hours Today: Closed	"missing"
546	Royal Air Force Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
547	The Drayton Arms Theatre	Suggested Duration: 2-3 hours	Closed Now Sun3:00 PM - 5:00 PMSun - Sat8:00 PM - 11:00 PMHours Hours Today: 8:00 PM - 11:00 PM	A boutique studio theatre sat above the Drayton Arms pub. Showcasing the best new British and European theatre companies, seven days a week. Check our website for the current line up.
548	Chapel Street Market	"missing"	"missing"	"missing"
549	Mary Seacole Statue	Suggested Duration: < 1 hour	"missing"	"missing"
550	St. Mary Woolnoth Church	Suggested Duration: < 1 hour	"missing"	"missing"
551	Tachbrook Market	Suggested Duration: < 1 hour	Closed Now Mon - Sat8:00 AM - 6:00 PMHours Hours Today: 8:00 AM - 6:00 PM	"missing"
552	Clerkenwell	"missing"	"missing"	"missing"
553	Highgate Bathing Pond	"missing"	"missing"	"missing"
554	Langham Place	"missing"	"missing"	"missing"
555	Grosvenor Casino Gloucester Road London	Suggested Duration: 2-3 hours	"missing"	Grosvenor Casino Gloucester Road, London has something for everyone in a traditional casino, with a lively social atmosphere. Whether you're a seasoned player or it's your first time, you will always feel at ease with our professional, friendly team. Aside from gaming we have a fantastic restaurant and bar to cater to all tastes. We are situated in the Royal Borough of Chelsea, close to Gloucester Road Ungerground station.
556	Troxy	"missing"	Closed Now Mon - Fri10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
557	Brooks Farm	"missing"	"missing"	"missing"
558	David Lloyd George Statue	Suggested Duration: < 1 hour	"missing"	"missing"
559	Burlington House	Suggested Duration: < 1 hour	"missing"	"missing"
560	Lights of Soho	Suggested Duration: 1-2 hours	"missing"	"missing"
561	UBREW	Suggested Duration: 2-3 hours	"missing"	Located on London’s trendy ‘Beer Mile’, UBREW is the UK's first 'open brewery', where members get to own their own brewery & brew their own beer. UBREW is open to everyone, so join us on Saturdays for a brewery tour & to sample the wide variety of beers at their unique taproom, or sign up to one of our awesome brewing courses (it's advised to book ahead for these to avoid disappointment)!
562	Tower Hill Pageant	"missing"	"missing"	"missing"
563	St George the Martyr	"missing"	"missing"	"missing"
564	The Bloomsbury Theatre	"missing"	"missing"	"missing"
565	The Shaw Theatre	"missing"	"missing"	"missing"
566	Admiral Jellicoe Memorial Fountain	Suggested Duration: < 1 hour	"missing"	"missing"
567	Parasol unit foundation for contemporary art	Suggested Duration: < 1 hour	Closed Now Sun12:00 PM - 5:00 PMTue - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
568	Primrose Hill Market	"missing"	"missing"	"missing"
569	Brunei Gallery	"missing"	Closed Now Tue - Wed10:30 AM - 5:00 PMThu10:30 AM - 8:00 PMFri - Sat10:30 AM - 5:00 PMHours Hours Today: 10:30 AM - 5:00 PM	"missing"
570	Lauderdale House	Suggested Duration: 1-2 hours	Closed Now Tue - Fri10:30 AM - 5:30 PMSat - Mon10:00 AM - 5:00 PMHours Hours Today: 10:30 AM - 5:30 PM	Built in 1582 and set in Waterlow Park, Lauderdale House runs primarily as an arts and education centre welcoming over 65,000 visitors annually. Our varied programme includes performances, exhibitions, classes and events, as well as weddings and parties, which together bring this historic building to life.
571	Brent Reservoir (Welsh Harp) Canalside	"missing"	"missing"	"missing"
572	Iris Theatre	Suggested Duration: 2-3 hours	"missing"	"missing"
573	Lewisham Market	"missing"	"missing"	"missing"
574	Gate Picturehouse	"missing"	"missing"	"missing"
575	The Clockmakers' Museum	"missing"	Closed Now Sun - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
576	Brixton Brewery	Suggested Duration: < 1 hour	"missing"	"missing"
577	One Tree Hill Local Nature Reserve	"missing"	"missing"	"missing"
578	South Norwood Lake and Grounds	Suggested Duration: More than 3 hours	"missing"	"missing"
579	Taste of London	"missing"	"missing"	"missing"
580	The Queen Square Park and Garden	"missing"	"missing"	"missing"
581	Shadwell Basin	"missing"	"missing"	"missing"
582	Benjamin Disraeli Statue	Suggested Duration: < 1 hour	"missing"	"missing"
583	London Sri Murugan Temple	Suggested Duration: < 1 hour	"missing"	"missing"
584	Dean's Yard	Suggested Duration: < 1 hour	"missing"	"missing"
585	Golden Boy of Pye Corner	Suggested Duration: < 1 hour	"missing"	"missing"
586	Allies Statue - Franklin D. Roosevelt and Winston Churchill	Suggested Duration: < 1 hour	"missing"	"missing"
587	Tin Pan Alley	"missing"	"missing"	"missing"
588	Three Mills and Queen Elizabeth Olympic Park	"missing"	Closed Sun11:00 AM - 4:00 AMHours Hours Today: Closed	"missing"
589	Thames River Police Museum	Suggested Duration: < 1 hour	"missing"	"missing"
590	St. Michael's Cornhill	Suggested Duration: < 1 hour	"missing"	"missing"
591	Field Marshal William Slim Statue	"missing"	"missing"	"missing"
592	Portcullis House	Suggested Duration: 1-2 hours	"missing"	"missing"
593	Matchroom Stadium	"missing"	"missing"	"missing"
594	The London Improv Theatre	Suggested Duration: 2-3 hours	"missing"	Comedy Improv shows every night with top class performers. An excellent night out. An intimate theatre with private bar and food served at your table. Improv, Music, Theatre, Magic. Relaxed atmosphere, casual dress. Best to book in advance and you can book tables for 4 or more . (Also home to Improv & Acting classes/courses from beginner through to performance)
595	Brunswick Square Gardens	Suggested Duration: < 1 hour	"missing"	"missing"
596	Pentameters Theatre	"missing"	"missing"	"missing"
597	The Banqueting House	Suggested Duration: 1-2 hours	"missing"	"missing"
598	Granary Square Kings Cross	Suggested Duration: 2-3 hours	"missing"	"missing"
601	Savoy Tup	Suggested Duration: 2-3 hours	Closed Now Mon - Thu12:00 PM - 11:00 PMFri - Sat12:00 PM - 12:00 AMHours Hours Today: 12:00 PM - 11:00 PM	"Lurking just off the Strand and just out of sight of most tourists you will find the Savoy Tup.
A classic London watering hole situated just a stone’s throw away from Covent Garden and the heart of London’s Theatre Land, it’s a real hidden gem, where you can escape the other tourist trap pubs and commercialism, making this a great place to meet and socialize after work, away from the hustle and bustle of everyday life.
It is truly a great place to relax either during your lunch break or after work, with the added advantage that you can bring your own food to have with your pint, or glass of wine.
Cask Marque a real draw to our patrons are our impeccably kept Real Ales (including Sharps Beer, including Doom Bar, Sharps Special, Pilgrim Beers as well as seasonal ales and guest beers), as an independent Public House, we believe in supporting the micro-brewery industry and therefore you will find many of their tipples adorning our pumps!"
602	St. James' Square	Suggested Duration: 1-2 hours	"missing"	"missing"
603	St. Sepulchre Without Newgate Church	"missing"	Closed Now Tue12:00 PM - 2:00 PMWed11:00 AM - 2:00 PMThu12:00 PM - 2:00 PMHours Hours Today: 12:00 PM - 2:00 PM	"missing"
604	St. George's Gardens	Suggested Duration: < 1 hour	"missing"	"missing"
605	Ferny Hill Farm	"missing"	Closed Now Sun10:30 AM - 5:30 PMTue - Sat9:00 AM - 5:30 PMHours Hours Today: 9:00 AM - 5:30 PM	"missing"
